Entry,Entry name,Protein names,Length,Mass,Annotation,Date of creation,Protein existence
P25089,FPR3_HUMAN,N-formyl peptide receptor 3 (FMLP-related receptor II) (FMLP-R-II) (Formyl peptide receptor-like 2),353,"39,965",5 out of 5,1992-05-01,Evidence at transcript level
Q6IN97,FRP2L_HUMAN,Putative protein FRMPD2-like (FERM and PDZ domain-containing protein 2 pseudogene 1) (FERM and PDZ domain-containing protein 2B pseudogene) (PDZ domain-containing protein 5A),320,"35,161",3 out of 5,2007-10-02,Uncertain
Q14CM0,FRPD4_HUMAN,FERM and PDZ domain-containing protein 4 (PDZ domain-containing protein 10) (PSD-95-interacting regulator of spine morphogenesis) (Preso),1322,"144,379",5 out of 5,2007-10-23,Evidence at protein level
Q9BTY2,FUCO2_HUMAN,Plasma alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase 2) (Alpha-L-fucosidase 2),467,"54,067",5 out of 5,2005-05-10,Evidence at protein level
Q8IVP5,FUND1_HUMAN,FUN14 domain-containing protein 1,155,"17,178",5 out of 5,2007-01-09,Evidence at protein level
Q11128,FUT5_HUMAN,"Alpha-(1,3)-fucosyltransferase 5 (EC 2.4.1.65) (Fucosyltransferase 5) (Fucosyltransferase V) (Fuc-TV) (FucT-V) (Galactoside 3-L-fucosyltransferase)",374,"43,008",5 out of 5,1996-10-01,Evidence at transcript level
P51116,FXR2_HUMAN,Fragile X mental retardation syndrome-related protein 2,673,"74,223",5 out of 5,1996-10-01,Evidence at protein level
Q9H0Q3,FXYD6_HUMAN,FXYD domain-containing ion transport regulator 6 (Phosphohippolin),95,"10,542",4 out of 5,2002-01-23,Evidence at protein level
O00144,FZD9_HUMAN,Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349),591,"64,466",5 out of 5,2001-12-05,Evidence at transcript level
Q9UM11,FZR1_HUMAN,Fizzy-related protein homolog (Fzr) (CDC20-like protein 1) (Cdh1/Hct1 homolog) (hCDH1),496,"55,179",5 out of 5,2003-10-03,Evidence at protein level
Q9UBA6,G8_HUMAN,Protein G8,75,"8,344",1 out of 5,2001-01-11,Predicted
Q4V326,GAG2E_HUMAN,G antigen 2E (GAGE-2E),116,"12,763",1 out of 5,2010-07-13,Inferred from homology
Q13065,GAGE1_HUMAN,G antigen 1 (GAGE-1) (Antigen MZ2-F) (Cancer/testis antigen 4.1) (CT4.1),139,"15,610",3 out of 5,1998-07-15,Evidence at protein level
P63145,GAK24_HUMAN,Endogenous retrovirus group K member 24 Gag polyprotein (HERV-K101 Gag protein) (HERV-K_22q11.21 provirus ancestral Gag polyprotein) (Gag polyprotein),666,"74,040",4 out of 5,2004-09-13,Evidence at protein level
P63126,GAK9_HUMAN,Endogenous retrovirus group K member 9 Gag polyprotein (HERV-K(C6) Gag protein) (HERV-K109 Gag protein) (HERV-K_6q14.1 provirus ancestral Gag polyprotein) (Gag polyprotein),666,"74,005",4 out of 5,2004-09-13,Evidence at protein level
Q14376,GALE_HUMAN,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase),348,"38,282",5 out of 5,1997-11-01,Evidence at protein level
Q14435,GALT3_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 3 (EC 2.4.1.41) (Polypeptide GalNAc transferase 3) (GalNAc-T3) (pp-GaNTase 3) (Protein-UDP acetylgalactosaminyltransferase 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 3),633,"72,610",5 out of 5,2004-08-16,Evidence at protein level
O60318,GANP_HUMAN,Germinal-center associated nuclear protein (GANP) (80 kDa MCM3-associated protein) (MCM3 acetylating protein) (MCM3AP) (EC 2.3.1.-) (MCM3 acetyltransferase),1980,"218,405",5 out of 5,2000-05-30,Evidence at protein level
Q75VX8,GARE2_HUMAN,GRB2-associated and regulator of MAPK protein 2 (GRB2-associated and regulator of MAPK1-like),874,"92,882",3 out of 5,2008-06-10,Evidence at protein level
Q9BWX5,GATA5_HUMAN,Transcription factor GATA-5 (GATA-binding factor 5),397,"41,299",5 out of 5,2002-01-31,Evidence at protein level
O75344,FKBP6_HUMAN,Inactive peptidyl-prolyl cis-trans isomerase FKBP6 (Inactive PPIase FKBP6) (36 kDa FK506-binding protein) (36 kDa FKBP) (FKBP-36) (FK506-binding protein 6) (FKBP-6) (Immunophilin FKBP36),327,"37,214",5 out of 5,2001-02-21,Evidence at protein level
Q14318,FKBP8_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein) (38 kDa FKBP) (FKBP-38) (hFKBP38) (FK506-binding protein 8) (FKBP-8) (FKBPR38) (Rotamase),412,"44,562",5 out of 5,2000-05-30,Evidence at protein level
Q9UIM3,FKBPL_HUMAN,FK506-binding protein-like (WAF-1/CIP1 stabilizing protein 39) (WISp39),349,"38,176",4 out of 5,2007-05-29,Evidence at protein level
Q7Z7B0,FLIP1_HUMAN,Filamin-A-interacting protein 1 (FILIP),1213,"138,109",4 out of 5,2006-05-16,Evidence at protein level
O75369,FLNB_HUMAN,Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP),2602,"278,164",5 out of 5,2003-11-07,Evidence at protein level
Q9NZU0,FLRT3_HUMAN,Leucine-rich repeat transmembrane protein FLRT3 (Fibronectin-like domain-containing leucine-rich transmembrane protein 3),649,"73,004",5 out of 5,2002-03-27,Evidence at protein level
Q96HJ9,FMC1_HUMAN,"Protein FMC1 homolog (ATP synthase assembly factor FMC1, mitochondrial) (Formation of mitochondrial complex V assembly factor 1 homolog)",113,"12,749",2 out of 5,2008-04-08,Evidence at protein level
Q68DA7,FMN1_HUMAN,Formin-1 (Limb deformity protein homolog),1419,"157,578",5 out of 5,2007-07-24,Evidence at protein level
Q9NZ56,FMN2_HUMAN,Formin-2,1722,"180,106",5 out of 5,2001-02-21,Evidence at protein level
Q06787,FMR1_HUMAN,Synaptic functional regulator FMR1 (Fragile X mental retardation protein 1) (FMRP) (Protein FMR-1),632,"71,174",5 out of 5,1994-06-01,Evidence at protein level
P49354,FNTA_HUMAN,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha),379,"44,409",5 out of 5,1996-02-01,Evidence at protein level
Q05932,FOLC_HUMAN,"Folylpolyglutamate synthase, mitochondrial (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase)",587,"64,609",5 out of 5,1994-06-01,Evidence at protein level
P53539,FOSB_HUMAN,Protein fosB (G0/G1 switch regulatory protein 3),338,"35,928",5 out of 5,1996-10-01,Evidence at transcript level
Q5VYV0,FOXB2_HUMAN,Forkhead box protein B2,432,"45,581",2 out of 5,2006-12-12,Predicted
Q99958,FOXC2_HUMAN,Forkhead box protein C2 (Forkhead-related protein FKHL14) (Mesenchyme fork head protein 1) (MFH-1 protein) (Transcription factor FKH-14),501,"53,719",5 out of 5,1998-07-15,Evidence at protein level
O60548,FOXD2_HUMAN,Forkhead box protein D2 (Forkhead-related protein FKHL17) (Forkhead-related transcription factor 9) (FREAC-9),495,"48,748",3 out of 5,2000-05-30,Evidence at protein level
O00358,FOXE1_HUMAN,Forkhead box protein E1 (Forkhead box protein E2) (Forkhead-related protein FKHL15) (HFKH4) (HNF-3/fork head-like protein 5) (HFKL5) (Thyroid transcription factor 2) (TTF-2),373,"38,076",5 out of 5,1998-07-15,Evidence at protein level
Q5SZK8,FREM2_HUMAN,FRAS1-related extracellular matrix protein 2 (ECM3 homolog),3169,"351,157",5 out of 5,2005-08-16,Evidence at protein level
Q8N475,FSTL5_HUMAN,Follistatin-related protein 5 (Follistatin-like protein 5),847,"95,751",3 out of 5,2005-04-12,Evidence at transcript level
Q9C0B1,FTO_HUMAN,Alpha-ketoglutarate-dependent dioxygenase FTO (EC 1.14.11.-) (Fat mass and obesity-associated protein),505,"58,282",5 out of 5,2007-05-01,Evidence at protein level
P04066,FUCO_HUMAN,Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1),466,"53,689",5 out of 5,1986-11-01,Evidence at protein level
Q12841,FSTL1_HUMAN,Follistatin-related protein 1 (Follistatin-like protein 1),308,"34,986",5 out of 5,1997-11-01,Evidence at protein level
O95633,FSTL3_HUMAN,Follistatin-related protein 3 (Follistatin-like protein 3) (Follistatin-related gene protein),263,"27,663",5 out of 5,2002-10-10,Evidence at protein level
A2VDF0,FUCM_HUMAN,Fucose mutarotase (EC 5.1.3.29),154,"16,765",4 out of 5,2007-05-15,Evidence at protein level
Q495W5,FUT11_HUMAN,"Alpha-(1,3)-fucosyltransferase 11 (EC 2.4.1.-) (Fucosyltransferase XI) (Fuc-TXI) (FucT-XI) (Galactoside 3-L-fucosyltransferase 11) (Fucosyltransferase 11)",492,"55,816",4 out of 5,2007-08-21,Evidence at protein level
P22083,FUT4_HUMAN,"Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (ELAM-1 ligand fucosyltransferase) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)",530,"59,084",5 out of 5,1991-08-01,Evidence at transcript level
Q4VC44,FWCH1_HUMAN,FLYWCH-type zinc finger-containing protein 1,716,"80,108",3 out of 5,2008-01-15,Evidence at protein level
Q5VV16,FX4L5_HUMAN,Forkhead box protein D4-like 5 (FOXD4-like 5),416,"45,780",2 out of 5,2007-09-11,Inferred from homology
Q96DB9,FXYD5_HUMAN,FXYD domain-containing ion transport regulator 5 (Dysadherin),178,"19,472",5 out of 5,2002-01-23,Evidence at protein level
P06241,FYN_HUMAN,Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn),537,"60,762",5 out of 5,1988-01-01,Evidence at protein level
O75084,FZD7_HUMAN,Frizzled-7 (Fz-7) (hFz7) (FzE3),574,"63,620",5 out of 5,2001-12-05,Evidence at protein level
Q9NQR9,G6PC2_HUMAN,Glucose-6-phosphatase 2 (G-6-Pase 2) (G6Pase 2) (EC 3.1.3.9) (Islet-specific glucose-6-phosphatase catalytic subunit-related protein),355,"40,580",5 out of 5,2008-05-20,Evidence at protein level
P06744,G6PI_HUMAN,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36),558,"63,147",5 out of 5,1988-01-01,Evidence at protein level
P63211,GBG1_HUMAN,Guanine nucleotide-binding protein G(T) subunit gamma-T1 (Transducin gamma chain),74,"8,496",5 out of 5,2004-09-27,Evidence at protein level
Q8N5D6,GBGT1_HUMAN,"Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (EC 2.4.1.-) (Forssman glycolipid synthase-like protein)",347,"40,127",5 out of 5,2005-05-10,Evidence at transcript level
Q96PP9,GBP4_HUMAN,Guanylate-binding protein 4 (EC 3.6.5.-) (GTP-binding protein 4) (GBP-4) (Guanine nucleotide-binding protein 4),640,"73,165",5 out of 5,2003-10-24,Evidence at transcript level
Q6ZN66,GBP6_HUMAN,Guanylate-binding protein 6 (GTP-binding protein 6) (GBP-6) (Guanine nucleotide-binding protein 6),633,"72,427",4 out of 5,2008-01-15,Evidence at transcript level
Q8WUP2,FBLI1_HUMAN,Filamin-binding LIM protein 1 (FBLP-1) (Migfilin) (Mitogen-inducible 2-interacting protein) (MIG2-interacting protein),373,"40,670",5 out of 5,2003-11-07,Evidence at protein level
Q9HCM7,FBSL_HUMAN,Fibrosin-1-like protein (AUTS2-like protein) (HBV X-transactivated gene 9 protein) (HBV XAg-transactivated protein 9),1045,"110,907",3 out of 5,2008-02-26,Evidence at protein level
Q6ZV73,FGD6_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 6 (Zinc finger FYVE domain-containing protein 24)",1430,"160,816",4 out of 5,2005-03-15,Evidence at protein level
Q8TAT2,FGFP3_HUMAN,Fibroblast growth factor-binding protein 3 (FGF-BP3) (FGF-binding protein 3) (FGFBP-3),258,"27,590",4 out of 5,2006-06-27,Evidence at protein level
Q9BXU8,FHL17_HUMAN,Ferritin heavy polypeptide-like 17 (Cancer/testis antigen 38) (CT38),183,"21,142",3 out of 5,2001-09-26,Evidence at transcript level
Q5HY92,FIGN_HUMAN,Fidgetin,759,"82,146",4 out of 5,2006-10-03,Evidence at protein level
Q13451,FKBP5_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase),457,"51,212",5 out of 5,1997-11-01,Evidence at protein level
Q9Y680,FKBP7_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP7 (PPIase FKBP7) (EC 5.2.1.8) (23 kDa FK506-binding protein) (23 kDa FKBP) (FKBP-23) (FK506-binding protein 7) (FKBP-7) (Rotamase),259,"30,009",5 out of 5,2002-09-19,Evidence at protein level
O75072,FKTN_HUMAN,Fukutin (EC 2.-.-.-) (Fukuyama-type congenital muscular dystrophy protein),461,"53,724",5 out of 5,2001-02-21,Evidence at protein level
Q8NFG4,FLCN_HUMAN,Folliculin (BHD skin lesion fibrofolliculoma protein) (Birt-Hogg-Dube syndrome protein),579,"64,473",5 out of 5,2006-02-21,Evidence at protein level
Q9UPI3,FLVC2_HUMAN,Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT),526,"57,241",5 out of 5,2004-04-13,Evidence at protein level
B3EWG3,FM25A_HUMAN,Protein FAM25A,89,"9,320",1 out of 5,2012-03-21,Inferred from homology
P0C7T7,FMAS1_HUMAN,Putative uncharacterized protein FRMD6-AS1 (FRMD6 antisense RNA 1) (FRMD6 antisense gene protein 1),363,"38,799",2 out of 5,2008-07-22,Uncertain
Q96PY5,FMNL2_HUMAN,Formin-like protein 2 (Formin homology 2 domain-containing protein 2),1086,"123,321",5 out of 5,2007-05-29,Evidence at protein level
P25090,FPR2_HUMAN,N-formyl peptide receptor 2 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor-like 1) (HM63) (Lipoxin A4 receptor) (LXA4 receptor) (RFP),351,"38,964",5 out of 5,1992-05-01,Evidence at transcript level
A6NGY1,FRG2C_HUMAN,Protein FRG2-like-2 (FSHD region gene 2 protein family member C) (HSA3-FRG2),282,"30,798",2 out of 5,2007-09-11,Inferred from homology
P02792,FRIL_HUMAN,Ferritin light chain (Ferritin L subunit),175,"20,020",5 out of 5,1986-07-21,Evidence at protein level
A2A2Y4,FRMD3_HUMAN,FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O),597,"68,772",4 out of 5,2008-02-05,Evidence at transcript level
Q6ZUT3,FRMD7_HUMAN,FERM domain-containing protein 7,714,"81,614",5 out of 5,2006-10-31,Evidence at protein level
Q68DX3,FRPD2_HUMAN,FERM and PDZ domain-containing protein 2 (PDZ domain-containing protein 4) (PDZ domain-containing protein 5C),1309,"144,282",5 out of 5,2007-10-02,Evidence at protein level
Q5TBA9,FRY_HUMAN,Protein furry homolog,3013,"338,875",4 out of 5,2007-03-20,Evidence at protein level
O95073,FSBP_HUMAN,Fibrinogen silencer-binding protein,299,"34,768",5 out of 5,2004-07-19,Evidence at protein level
Q5H9T9,FSCB_HUMAN,Fibrous sheath CABYR-binding protein,825,"87,956",3 out of 5,2005-08-30,Evidence at transcript level
Q16658,FSCN1_HUMAN,Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55),493,"54,530",5 out of 5,1997-11-01,Evidence at protein level
Q96I24,FUBP3_HUMAN,Far upstream element-binding protein 3 (FUSE-binding protein 3),572,"61,640",5 out of 5,2003-09-26,Evidence at protein level
P07954,FUMH_HUMAN,"Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)",510,"54,637",5 out of 5,1988-08-01,Evidence at protein level
P09958,FURIN_HUMAN,Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE),794,"86,678",5 out of 5,1989-07-01,Evidence at protein level
Q10981,FUT2_HUMAN,"Galactoside 2-alpha-L-fucosyltransferase 2 (EC 2.4.1.69) (Alpha(1,2)FT 2) (Fucosyltransferase 2) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2) (SE2) (Secretor blood group alpha-2-fucosyltransferase) (Secretor factor) (Se)",343,"39,017",5 out of 5,1996-10-01,Evidence at protein level
Q3SYB3,FX4L6_HUMAN,Forkhead box protein D4-like 6 (FOXD4-like 6),417,"45,787",2 out of 5,2007-09-11,Evidence at protein level
Q8NEE6,FXL13_HUMAN,F-box/LRR-repeat protein 13 (F-box and leucine-rich repeat protein 13),735,"83,924",4 out of 5,2005-03-15,Evidence at transcript level
Q9H469,FXL15_HUMAN,F-box/LRR-repeat protein 15 (F-box only protein 37),300,"32,998",5 out of 5,2004-08-31,Evidence at protein level
Q96ME1,FXL18_HUMAN,F-box/LRR-repeat protein 18 (F-box and leucine-rich repeat protein 18),805,"88,341",4 out of 5,2005-03-15,Evidence at protein level
Q96IG2,FXL20_HUMAN,F-box/LRR-repeat protein 20 (F-box and leucine-rich repeat protein 20) (F-box/LRR-repeat protein 2-like),436,"48,423",3 out of 5,2003-11-21,Evidence at protein level
Q6P050,FXL22_HUMAN,F-box and leucine-rich protein 22,247,"27,269",5 out of 5,2006-07-25,Evidence at protein level
P58549,FXYD7_HUMAN,FXYD domain-containing ion transport regulator 7,80,"8,524",3 out of 5,2002-01-23,Evidence at protein level
Q9Y2I7,FYV1_HUMAN,1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase),2098,"237,136",5 out of 5,2000-12-01,Evidence at protein level
P15328,FOLR1_HUMAN,"Folate receptor alpha (FR-alpha) (Adult folate-binding protein) (FBP) (Folate receptor 1) (Folate receptor, adult) (KB cells FBP) (Ovarian tumor-associated antigen MOv18)",257,"29,819",5 out of 5,1990-04-01,Evidence at protein level
Q9UJU5,FOXD3_HUMAN,Forkhead box protein D3 (HNF3/FH transcription factor genesis),478,"47,630",5 out of 5,2000-05-30,Evidence at protein level
Q12946,FOXF1_HUMAN,Forkhead box protein F1 (Forkhead-related activator 1) (FREAC-1) (Forkhead-related protein FKHL5) (Forkhead-related transcription factor 1),379,"40,122",5 out of 5,1997-11-01,Evidence at protein level
Q08050,FOXM1_HUMAN,Forkhead box protein M1 (Forkhead-related protein FKHL16) (Hepatocyte nuclear factor 3 forkhead homolog 11) (HFH-11) (HNF-3/fork-head homolog 11) (M-phase phosphoprotein 2) (MPM-2 reactive phosphoprotein 2) (Transcription factor Trident) (Winged-helix factor from INS-1 cells),763,"84,283",5 out of 5,2000-05-30,Evidence at protein level
O43524,FOXO3_HUMAN,Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1),673,"71,277",5 out of 5,2000-05-30,Evidence at protein level
O43638,FOXS1_HUMAN,Forkhead box protein S1 (Forkhead-like 18 protein) (Forkhead-related transcription factor 10) (FREAC-10),330,"35,434",3 out of 5,1998-12-15,Evidence at transcript level
P21462,FPR1_HUMAN,fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor),350,"38,446",5 out of 5,1991-05-01,Evidence at protein level
A9Z1Z3,FR1L4_HUMAN,Fer-1-like protein 4,1794,"200,980",3 out of 5,2008-09-02,Evidence at transcript level
Q9BZ68,FR8P1_HUMAN,Putative FERM domain-containing protein FRMD8P1 (FERM domain-containing 8 pseudogene 1),369,"41,136",2 out of 5,2007-07-24,Uncertain
Q5H8C1,FREM1_HUMAN,FRAS1-related extracellular matrix protein 1 (Protein QBRICK),2179,"244,154",5 out of 5,2005-08-16,Evidence at protein level
Q14331,FRG1_HUMAN,Protein FRG1 (FSHD region gene 1 protein),258,"29,172",5 out of 5,2001-09-26,Evidence at protein level
P02794,FRIH_HUMAN,"Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]",183,"21,226",5 out of 5,1986-07-21,Evidence at protein level
O95876,FRITZ_HUMAN,WD repeat-containing and planar cell polarity effector protein fritz homolog (hFRTZ) (Bardet-Biedl syndrome 15 protein) (WD repeat-containing and planar cell polarity effector protein),746,"85,084",5 out of 5,2008-03-18,Evidence at protein level
P42685,FRK_HUMAN,Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5),505,"58,254",5 out of 5,1995-11-01,Evidence at protein level
Q7Z6J6,FRMD5_HUMAN,FERM domain-containing protein 5,570,"65,065",3 out of 5,2006-07-25,Evidence at protein level
Q9BZ67,FRMD8_HUMAN,FERM domain-containing protein 8,464,"51,218",2 out of 5,2007-07-24,Evidence at protein level
Q9P0K9,FRS1L_HUMAN,DOMON domain-containing protein FRRS1L (Brain protein CG-6) (Ferric-chelate reductase 1-like protein),344,"37,270",4 out of 5,2006-03-21,Evidence at protein level
O43559,FRS3_HUMAN,Fibroblast growth factor receptor substrate 3 (FGFR substrate 3) (FGFR-signaling adaptor SNT2) (Suc1-associated neurotrophic factor target 2) (SNT-2),492,"54,462",5 out of 5,2005-07-19,Evidence at protein level
Q9NQT6,FSCN3_HUMAN,Fascin-3 (Testis fascin),498,"56,624",4 out of 5,2001-09-26,Evidence at transcript level
P23945,FSHR_HUMAN,Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor),695,"78,265",5 out of 5,1992-03-01,Evidence at protein level
Q6MZW2,FSTL4_HUMAN,Follistatin-related protein 4 (Follistatin-like protein 4),842,"93,096",3 out of 5,2006-10-03,Evidence at transcript level
P19883,FST_HUMAN,Follistatin (FS) (Activin-binding protein),344,"38,007",5 out of 5,1991-02-01,Evidence at protein level
Q9NU39,FX4L1_HUMAN,Forkhead box protein D4-like 1 (FOXD4-like 1),408,"43,610",2 out of 5,2003-01-27,Evidence at transcript level
Q96IV6,FXDC2_HUMAN,Fatty acid hydroxylase domain-containing protein 2,333,"39,002",3 out of 5,2006-09-19,Evidence at transcript level
Q8N1E6,FXL14_HUMAN,F-box/LRR-repeat protein 14 (F-box and leucine-rich repeat protein 14),418,"45,886",5 out of 5,2004-06-07,Evidence at protein level
Q8IWF2,FXRD2_HUMAN,FAD-dependent oxidoreductase domain-containing protein 2 (Endoplasmic reticulum flavoprotein associated with degradation),684,"77,791",5 out of 5,2008-05-20,Evidence at protein level
P59646,FXYD4_HUMAN,FXYD domain-containing ion transport regulator 4,89,"9,373",3 out of 5,2003-04-30,Inferred from homology
Q14332,FZD2_HUMAN,Frizzled-2 (Fz-2) (hFz2) (FzE2),565,"63,554",5 out of 5,2001-12-05,Evidence at protein level
O60353,FZD6_HUMAN,Frizzled-6 (Fz-6) (hFz6),706,"79,292",5 out of 5,2001-12-05,Evidence at protein level
Q9H461,FZD8_HUMAN,Frizzled-8 (Fz-8) (hFz8),694,"73,300",5 out of 5,2001-12-05,Evidence at protein level
P04406,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),335,"36,053",5 out of 5,1986-07-21,Evidence at protein level
Q96RP7,G3ST4_HUMAN,"Galactose-3-O-sulfotransferase 4 (Gal3ST-4) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 4) (Gal-beta-1,3-GalNAc 3'-sulfotransferase)",486,"54,166",5 out of 5,2004-05-10,Evidence at protein level
P35575,G6PC_HUMAN,Glucose-6-phosphatase (G-6-Pase) (G6Pase) (EC 3.1.3.9) (Glucose-6-phosphatase alpha) (G6Pase-alpha),357,"40,484",5 out of 5,1994-06-01,Evidence at protein level
P49771,FLT3L_HUMAN,Fms-related tyrosine kinase 3 ligand (Flt3 ligand) (Flt3L) (SL cytokine),235,"26,416",5 out of 5,1996-10-01,Evidence at protein level
Q9Y5Y0,FLVC1_HUMAN,Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (hFLVCR),555,"59,863",5 out of 5,2004-04-13,Evidence at protein level
